datetime,demand,temperature,hour,day_of_week,month,humidity,is_holiday,region
2024-01-01 00:00:00,4905.0,25.0,0,0,1,54,0,National
2024-01-01 01:00:00,2830.0,25.0,1,0,1,38,0,National
2024-01-01 02:00:00,3907.0,23.0,2,0,1,59,0,National
2024-01-01 03:00:00,3252.0,22.0,3,0,1,40,0,National
2024-01-01 04:00:00,2857.0,33.0,4,0,1,59,0,National
2024-01-01 05:00:00,3788.0,29.0,5,0,1,51,0,National
2024-01-01 06:00:00,2888.0,30.0,6,0,1,82,0,National
2024-01-01 07:00:00,3571.0,19.0,7,0,1,53,0,National
2024-01-01 08:00:00,2678.0,17.0,8,0,1,80,0,National
2024-01-01 09:00:00,2311.0,14.0,9,0,1,69,0,National
2024-01-01 10:00:00,5843.0,30.0,10,0,1,40,0,National
2024-01-01 11:00:00,3501.0,18.0,11,0,1,47,0,National
2024-01-01 12:00:00,3310.0,33.0,12,0,1,55,0,National
2024-01-01 13:00:00,4495.0,27.0,13,0,1,67,0,National
2024-01-01 14:00:00,5471.0,18.0,14,0,1,61,0,National
2024-01-01 15:00:00,3700.0,28.0,15,0,1,35,1,National
2024-01-01 16:00:00,3745.0,27.0,16,0,1,71,0,National
2024-01-01 17:00:00,5268.0,18.0,17,0,1,45,0,National
2024-01-01 18:00:00,2722.0,19.0,18,0,1,54,0,National
2024-01-01 19:00:00,2604.0,16.0,19,0,1,79,0,National
2024-01-01 20:00:00,2411.0,23.0,20,0,1,63,1,National
2024-01-01 21:00:00,4391.0,25.0,21,0,1,38,0,National
2024-01-01 22:00:00,2630.0,24.0,22,0,1,63,0,National
2024-01-01 23:00:00,6078.0,33.0,23,0,1,43,0,National
2024-01-02 00:00:00,5419.0,23.0,0,1,1,45,0,National
2024-01-02 01:00:00,4758.0,28.0,1,1,1,54,0,National
2024-01-02 02:00:00,4052.0,18.0,2,1,1,62,0,National
2024-01-02 03:00:00,4382.0,22.0,3,1,1,69,0,National
2024-01-02 04:00:00,3631.0,22.0,4,1,1,41,0,National
2024-01-02 05:00:00,5133.0,15.0,5,1,1,83,0,National
2024-01-02 06:00:00,3511.0,26.0,6,1,1,70,0,National
2024-01-02 07:00:00,4723.0,32.0,7,1,1,43,0,National
2024-01-02 08:00:00,2328.0,17.0,8,1,1,56,0,National
2024-01-02 09:00:00,3726.0,33.0,9,1,1,78,1,National
2024-01-02 10:00:00,3458.0,35.0,10,1,1,57,0,National
2024-01-02 11:00:00,2283.0,21.0,11,1,1,65,0,National
2024-01-02 12:00:00,2578.0,25.0,12,1,1,66,0,National
2024-01-02 13:00:00,5394.0,23.0,13,1,1,72,0,National
2024-01-02 14:00:00,5855.0,20.0,14,1,1,39,0,National
2024-01-02 15:00:00,2949.0,14.0,15,1,1,47,0,National
2024-01-02 16:00:00,4001.0,20.0,16,1,1,57,0,National
2024-01-02 17:00:00,5851.0,20.0,17,1,1,55,0,National
2024-01-02 18:00:00,4825.0,35.0,18,1,1,75,0,National
2024-01-02 19:00:00,5142.0,34.0,19,1,1,64,0,National
2024-01-02 20:00:00,5018.0,33.0,20,1,1,67,0,National
2024-01-02 21:00:00,5772.0,25.0,21,1,1,61,0,National
2024-01-02 22:00:00,5122.0,34.0,22,1,1,66,0,National
2024-01-02 23:00:00,4185.0,24.0,23,1,1,36,1,National
2024-01-03 00:00:00,2631.0,14.0,0,2,1,72,0,National
2024-01-03 01:00:00,5640.0,32.0,1,2,1,59,0,National
2024-01-03 02:00:00,2942.0,18.0,2,2,1,53,0,National
2024-01-03 03:00:00,5517.0,24.0,3,2,1,35,0,National
2024-01-03 04:00:00,5102.0,31.0,4,2,1,41,0,National
2024-01-03 05:00:00,4529.0,35.0,5,2,1,38,0,National
2024-01-03 06:00:00,3627.0,24.0,6,2,1,52,0,National
2024-01-03 07:00:00,3733.0,29.0,7,2,1,39,0,National
2024-01-03 08:00:00,5148.0,21.0,8,2,1,47,0,National
2024-01-03 09:00:00,3660.0,18.0,9,2,1,49,0,National
2024-01-03 10:00:00,5854.0,21.0,10,2,1,39,0,National
2024-01-03 11:00:00,2972.0,18.0,11,2,1,55,0,National
2024-01-03 12:00:00,5934.0,33.0,12,2,1,64,0,National
2024-01-03 13:00:00,4609.0,27.0,13,2,1,84,0,National
2024-01-03 14:00:00,2646.0,26.0,14,2,1,56,1,National
2024-01-03 15:00:00,4307.0,33.0,15,2,1,75,0,National
2024-01-03 16:00:00,4928.0,26.0,16,2,1,52,0,National
2024-01-03 17:00:00,4220.0,33.0,17,2,1,52,1,National
2024-01-03 18:00:00,3079.0,34.0,18,2,1,79,0,National
2024-01-03 19:00:00,5513.0,18.0,19,2,1,37,0,National
2024-01-03 20:00:00,4958.0,23.0,20,2,1,81,0,National
2024-01-03 21:00:00,5551.0,33.0,21,2,1,67,0,National
2024-01-03 22:00:00,5220.0,28.0,22,2,1,43,0,National
2024-01-03 23:00:00,3340.0,25.0,23,2,1,67,0,National
2024-01-04 00:00:00,3767.0,35.0,0,3,1,45,0,National
2024-01-04 01:00:00,5883.0,24.0,1,3,1,72,0,National
2024-01-04 02:00:00,2555.0,18.0,2,3,1,66,0,National
2024-01-04 03:00:00,4988.0,24.0,3,3,1,81,0,National
2024-01-04 04:00:00,5330.0,34.0,4,3,1,84,0,National
2024-01-04 05:00:00,4403.0,17.0,5,3,1,46,0,National
2024-01-04 06:00:00,3808.0,22.0,6,3,1,46,0,National
2024-01-04 07:00:00,5046.0,27.0,7,3,1,43,0,National
2024-01-04 08:00:00,6186.0,14.0,8,3,1,44,0,National
2024-01-04 09:00:00,5328.0,20.0,9,3,1,43,0,National
2024-01-04 10:00:00,5444.0,29.0,10,3,1,60,0,National
2024-01-04 11:00:00,3132.0,29.0,11,3,1,66,0,National
2024-01-04 12:00:00,5459.0,19.0,12,3,1,43,0,National
2024-01-04 13:00:00,5360.0,28.0,13,3,1,82,0,National
2024-01-04 14:00:00,5125.0,24.0,14,3,1,44,0,National
2024-01-04 15:00:00,5968.0,21.0,15,3,1,79,0,National
2024-01-04 16:00:00,2947.0,32.0,16,3,1,47,1,National
2024-01-04 17:00:00,5628.0,31.0,17,3,1,46,0,National
2024-01-04 18:00:00,4715.0,28.0,18,3,1,40,0,National
2024-01-04 19:00:00,4048.0,19.0,19,3,1,65,0,National
2024-01-04 20:00:00,4249.0,26.0,20,3,1,79,0,National
2024-01-04 21:00:00,5320.0,23.0,21,3,1,38,0,National
2024-01-04 22:00:00,5536.0,35.0,22,3,1,56,0,National
2024-01-04 23:00:00,3150.0,17.0,23,3,1,81,0,National
2024-01-05 00:00:00,3341.0,32.0,0,4,1,35,0,National
2024-01-05 01:00:00,4783.0,31.0,1,4,1,66,0,National
2024-01-05 02:00:00,5634.0,34.0,2,4,1,78,0,National
2024-01-05 03:00:00,4469.0,34.0,3,4,1,71,0,National
2024-01-05 04:00:00,3533.0,30.0,4,4,1,57,0,National
2024-01-05 05:00:00,3210.0,33.0,5,4,1,50,0,National
2024-01-05 06:00:00,4574.0,20.0,6,4,1,74,0,National
2024-01-05 07:00:00,2863.0,15.0,7,4,1,39,0,National
2024-01-05 08:00:00,4418.0,30.0,8,4,1,36,0,National
2024-01-05 09:00:00,3676.0,16.0,9,4,1,74,0,National
2024-01-05 10:00:00,5646.0,31.0,10,4,1,49,0,National
2024-01-05 11:00:00,3607.0,21.0,11,4,1,53,0,National
2024-01-05 12:00:00,4181.0,32.0,12,4,1,48,0,National
2024-01-05 13:00:00,3638.0,24.0,13,4,1,39,0,National
2024-01-05 14:00:00,4530.0,28.0,14,4,1,66,0,National
2024-01-05 15:00:00,4795.0,31.0,15,4,1,72,0,National
2024-01-05 16:00:00,4617.0,21.0,16,4,1,64,0,National
2024-01-05 17:00:00,2672.0,34.0,17,4,1,82,0,National
2024-01-05 18:00:00,2550.0,28.0,18,4,1,40,0,National
2024-01-05 19:00:00,3338.0,16.0,19,4,1,40,0,National
2024-01-05 20:00:00,4013.0,32.0,20,4,1,69,0,National
2024-01-05 21:00:00,5972.0,30.0,21,4,1,62,1,National
2024-01-05 22:00:00,3077.0,25.0,22,4,1,46,0,National
2024-01-05 23:00:00,2232.0,29.0,23,4,1,83,0,National
2024-01-06 00:00:00,3698.0,25.0,0,5,1,43,0,National
2024-01-06 01:00:00,4078.0,27.0,1,5,1,71,0,National
2024-01-06 02:00:00,5778.0,27.0,2,5,1,45,0,National
2024-01-06 03:00:00,2986.0,20.0,3,5,1,47,0,National
2024-01-06 04:00:00,3873.0,14.0,4,5,1,61,0,National
2024-01-06 05:00:00,2997.0,21.0,5,5,1,47,0,National
2024-01-06 06:00:00,2530.0,26.0,6,5,1,37,0,National
2024-01-06 07:00:00,4662.0,30.0,7,5,1,56,0,National
2024-01-06 08:00:00,3922.0,23.0,8,5,1,41,0,National
2024-01-06 09:00:00,5055.0,34.0,9,5,1,55,0,National
2024-01-06 10:00:00,5122.0,35.0,10,5,1,76,0,National
2024-01-06 11:00:00,5878.0,21.0,11,5,1,82,0,National
2024-01-06 12:00:00,5425.0,21.0,12,5,1,81,0,National
2024-01-06 13:00:00,4449.0,32.0,13,5,1,35,0,National
2024-01-06 14:00:00,3079.0,14.0,14,5,1,68,0,National
2024-01-06 15:00:00,5345.0,28.0,15,5,1,40,0,National
2024-01-06 16:00:00,5197.0,18.0,16,5,1,51,0,National
2024-01-06 17:00:00,5603.0,32.0,17,5,1,79,0,National
2024-01-06 18:00:00,6117.0,17.0,18,5,1,74,0,National
2024-01-06 19:00:00,2516.0,35.0,19,5,1,64,1,National
2024-01-06 20:00:00,5650.0,25.0,20,5,1,83,0,National
2024-01-06 21:00:00,6066.0,29.0,21,5,1,57,1,National
2024-01-06 22:00:00,2555.0,32.0,22,5,1,52,0,National
2024-01-06 23:00:00,2974.0,29.0,23,5,1,67,0,National
2024-01-07 00:00:00,4716.0,31.0,0,6,1,67,0,National
2024-01-07 01:00:00,3803.0,24.0,1,6,1,49,0,National
2024-01-07 02:00:00,3813.0,15.0,2,6,1,36,0,National
2024-01-07 03:00:00,3641.0,17.0,3,6,1,56,0,National
2024-01-07 04:00:00,5363.0,26.0,4,6,1,65,0,National
2024-01-07 05:00:00,3787.0,25.0,5,6,1,35,0,National
2024-01-07 06:00:00,3644.0,34.0,6,6,1,47,1,National
2024-01-07 07:00:00,2617.0,22.0,7,6,1,56,0,National
2024-01-07 08:00:00,5355.0,28.0,8,6,1,55,1,National
2024-01-07 09:00:00,5440.0,29.0,9,6,1,62,1,National
2024-01-07 10:00:00,4517.0,20.0,10,6,1,50,0,National
2024-01-07 11:00:00,6033.0,17.0,11,6,1,37,0,National
2024-01-07 12:00:00,4312.0,15.0,12,6,1,62,1,National
2024-01-07 13:00:00,3975.0,27.0,13,6,1,59,1,National
2024-01-07 14:00:00,3787.0,28.0,14,6,1,49,0,National
2024-01-07 15:00:00,3041.0,19.0,15,6,1,66,0,National
2024-01-07 16:00:00,3212.0,28.0,16,6,1,44,1,National
2024-01-07 17:00:00,5150.0,27.0,17,6,1,46,0,National
2024-01-07 18:00:00,5456.0,15.0,18,6,1,55,0,National
2024-01-07 19:00:00,2989.0,29.0,19,6,1,48,1,National
2024-01-07 20:00:00,2515.0,26.0,20,6,1,83,0,National
2024-01-07 21:00:00,6160.0,27.0,21,6,1,82,0,National
2024-01-07 22:00:00,5430.0,22.0,22,6,1,67,0,National
2024-01-07 23:00:00,4933.0,19.0,23,6,1,80,0,National
2024-01-08 00:00:00,5980.0,23.0,0,0,1,84,1,National
2024-01-08 01:00:00,5766.0,20.0,1,0,1,54,0,National
2024-01-08 02:00:00,3537.0,31.0,2,0,1,54,0,National
2024-01-08 03:00:00,3329.0,29.0,3,0,1,68,0,National
2024-01-08 04:00:00,3115.0,29.0,4,0,1,77,0,National
2024-01-08 05:00:00,3178.0,30.0,5,0,1,76,0,National
2024-01-08 06:00:00,6199.0,28.0,6,0,1,54,0,National
2024-01-08 07:00:00,2910.0,17.0,7,0,1,81,0,National
2024-01-08 08:00:00,4436.0,14.0,8,0,1,43,1,National
2024-01-08 09:00:00,4067.0,32.0,9,0,1,36,0,National
2024-01-08 10:00:00,5945.0,21.0,10,0,1,42,1,National
2024-01-08 11:00:00,5289.0,17.0,11,0,1,68,0,National
2024-01-08 12:00:00,5501.0,14.0,12,0,1,44,0,National
2024-01-08 13:00:00,2305.0,32.0,13,0,1,39,0,National
2024-01-08 14:00:00,5222.0,29.0,14,0,1,84,0,National
2024-01-08 15:00:00,4216.0,19.0,15,0,1,84,0,National
2024-01-08 16:00:00,3992.0,22.0,16,0,1,70,0,National
2024-01-08 17:00:00,5994.0,17.0,17,0,1,39,0,National
2024-01-08 18:00:00,4801.0,27.0,18,0,1,42,0,National
2024-01-08 19:00:00,6160.0,33.0,19,0,1,70,0,National
2024-01-08 20:00:00,5979.0,29.0,20,0,1,70,1,National
2024-01-08 21:00:00,3309.0,31.0,21,0,1,67,0,National
2024-01-08 22:00:00,2322.0,22.0,22,0,1,41,0,National
2024-01-08 23:00:00,4694.0,17.0,23,0,1,55,0,National
2024-01-09 00:00:00,4860.0,15.0,0,1,1,39,0,National
2024-01-09 01:00:00,5050.0,35.0,1,1,1,58,0,National
2024-01-09 02:00:00,6192.0,16.0,2,1,1,56,0,National
2024-01-09 03:00:00,3449.0,16.0,3,1,1,70,0,National
2024-01-09 04:00:00,5984.0,35.0,4,1,1,70,0,National
2024-01-09 05:00:00,5796.0,20.0,5,1,1,74,0,National
2024-01-09 06:00:00,2506.0,16.0,6,1,1,37,0,National
2024-01-09 07:00:00,5525.0,27.0,7,1,1,68,0,National
2024-01-09 08:00:00,5847.0,31.0,8,1,1,43,0,National
2024-01-09 09:00:00,3928.0,15.0,9,1,1,38,0,National
2024-01-09 10:00:00,3641.0,22.0,10,1,1,39,1,National
2024-01-09 11:00:00,5203.0,23.0,11,1,1,41,1,National
2024-01-09 12:00:00,5819.0,26.0,12,1,1,74,0,National
2024-01-09 13:00:00,4779.0,19.0,13,1,1,42,0,National
2024-01-09 14:00:00,4510.0,26.0,14,1,1,38,0,National
2024-01-09 15:00:00,3119.0,23.0,15,1,1,64,0,National
2024-01-09 16:00:00,4984.0,23.0,16,1,1,65,0,National
2024-01-09 17:00:00,3028.0,32.0,17,1,1,76,0,National
2024-01-09 18:00:00,2346.0,23.0,18,1,1,48,1,National
2024-01-09 19:00:00,3989.0,27.0,19,1,1,68,0,National
2024-01-09 20:00:00,6008.0,21.0,20,1,1,71,0,National
2024-01-09 21:00:00,4182.0,14.0,21,1,1,45,0,National
2024-01-09 22:00:00,4513.0,29.0,22,1,1,64,0,National
2024-01-09 23:00:00,2351.0,16.0,23,1,1,61,0,National
2024-01-10 00:00:00,4288.0,23.0,0,2,1,71,0,National
2024-01-10 01:00:00,2532.0,27.0,1,2,1,84,0,National
2024-01-10 02:00:00,3321.0,26.0,2,2,1,52,0,National
2024-01-10 03:00:00,5406.0,30.0,3,2,1,80,0,National
2024-01-10 04:00:00,2535.0,27.0,4,2,1,45,0,National
2024-01-10 05:00:00,5562.0,23.0,5,2,1,50,0,National
2024-01-10 06:00:00,2280.0,25.0,6,2,1,41,0,National
2024-01-10 07:00:00,3980.0,15.0,7,2,1,84,0,National
2024-01-10 08:00:00,4347.0,14.0,8,2,1,58,0,National
2024-01-10 09:00:00,5662.0,23.0,9,2,1,71,0,National
2024-01-10 10:00:00,4920.0,26.0,10,2,1,59,0,National
2024-01-10 11:00:00,2852.0,18.0,11,2,1,40,0,National
2024-01-10 12:00:00,4702.0,21.0,12,2,1,60,0,National
2024-01-10 13:00:00,3831.0,25.0,13,2,1,83,1,National
2024-01-10 14:00:00,3915.0,34.0,14,2,1,43,0,National
2024-01-10 15:00:00,5317.0,18.0,15,2,1,69,0,National
2024-01-10 16:00:00,4521.0,30.0,16,2,1,47,0,National
2024-01-10 17:00:00,3091.0,26.0,17,2,1,82,0,National
2024-01-10 18:00:00,3439.0,22.0,18,2,1,49,0,National
2024-01-10 19:00:00,3822.0,14.0,19,2,1,72,0,National
2024-01-10 20:00:00,3564.0,15.0,20,2,1,79,0,National
2024-01-10 21:00:00,2590.0,29.0,21,2,1,67,0,National
2024-01-10 22:00:00,5247.0,25.0,22,2,1,46,0,National
2024-01-10 23:00:00,5841.0,23.0,23,2,1,45,0,National
2024-01-11 00:00:00,5969.0,31.0,0,3,1,54,0,National
2024-01-11 01:00:00,3051.0,15.0,1,3,1,64,0,National
2024-01-11 02:00:00,5984.0,19.0,2,3,1,65,0,National
2024-01-11 03:00:00,3870.0,18.0,3,3,1,65,0,National
2024-01-11 04:00:00,5615.0,26.0,4,3,1,56,0,National
2024-01-11 05:00:00,5290.0,26.0,5,3,1,81,0,National
2024-01-11 06:00:00,5302.0,19.0,6,3,1,57,0,National
2024-01-11 07:00:00,2959.0,34.0,7,3,1,70,0,National
2024-01-11 08:00:00,4101.0,17.0,8,3,1,77,0,National
2024-01-11 09:00:00,3102.0,35.0,9,3,1,66,0,National
2024-01-11 10:00:00,2671.0,23.0,10,3,1,63,0,National
2024-01-11 11:00:00,3237.0,31.0,11,3,1,72,0,National
2024-01-11 12:00:00,3963.0,26.0,12,3,1,78,0,National
2024-01-11 13:00:00,5646.0,35.0,13,3,1,56,0,National
2024-01-11 14:00:00,5837.0,34.0,14,3,1,66,1,National
2024-01-11 15:00:00,5461.0,32.0,15,3,1,43,0,National
2024-01-11 16:00:00,4032.0,33.0,16,3,1,65,0,National
2024-01-11 17:00:00,4494.0,15.0,17,3,1,36,0,National
2024-01-11 18:00:00,3346.0,23.0,18,3,1,51,0,National
2024-01-11 19:00:00,3343.0,29.0,19,3,1,61,0,National
2024-01-11 20:00:00,3262.0,14.0,20,3,1,36,0,National
2024-01-11 21:00:00,2728.0,20.0,21,3,1,68,0,National
2024-01-11 22:00:00,5063.0,32.0,22,3,1,50,0,National
2024-01-11 23:00:00,2750.0,16.0,23,3,1,46,0,National
2024-01-12 00:00:00,5369.0,20.0,0,4,1,66,0,National
2024-01-12 01:00:00,2456.0,23.0,1,4,1,55,0,National
2024-01-12 02:00:00,4353.0,20.0,2,4,1,63,0,National
2024-01-12 03:00:00,5337.0,33.0,3,4,1,48,0,National
2024-01-12 04:00:00,4477.0,21.0,4,4,1,42,0,National
2024-01-12 05:00:00,3144.0,17.0,5,4,1,50,0,National
2024-01-12 06:00:00,4445.0,29.0,6,4,1,54,0,National
2024-01-12 07:00:00,5303.0,25.0,7,4,1,69,0,National
2024-01-12 08:00:00,4569.0,34.0,8,4,1,82,0,National
2024-01-12 09:00:00,6040.0,15.0,9,4,1,82,0,National
2024-01-12 10:00:00,4963.0,23.0,10,4,1,78,0,National
2024-01-12 11:00:00,4651.0,26.0,11,4,1,61,0,National
2024-01-12 12:00:00,4332.0,30.0,12,4,1,46,0,National
